cnpj,nome,uf,cidade,bairro,renda_bairro,aluguel_m2,aluguel_total,margem_proxy,match_renda,idade_anos,telefone,email,segmento,cnae_match,cnae_principal,academia_core,flag_nao_academia,tp_name,na_totalpass
58587563000108,STUDIO VELOCITY,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,1.8,1132314580,GERENCIA-BRASILIASUDOESTE@STUDIOVELOCITY.COM.BR,academia,principal,9313100,1,0,,0
28473606000163,,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,9.1,6181760474,ODILON.MILITAO@GMAIL.COM,academia,principal,9313100,1,0,,0
08353829000341,ACUAS FITNESS,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,7.8,6134350055,CONTATO@ACUASFITNESS.COM.BR,academia,principal,9313100,1,0,,0
26861711000144,,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,9.7,6134275498,FABRICIOMAMANNY@HOTMAIL.COM,academia,principal,9313100,1,0,,0
00318069004236,,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,3.1,1133650800,FISCAL@BIORITMO.COM.BR,academia,principal,9313100,1,0,,0
53428299000146,STUDIO BRAVUS PERSONAL,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,2.7,6185041504,BADBOYDF29@HOTMAIL.COM,academia,principal,9313100,1,0,,0
57958145000117,EVOLVE,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,1.9,6181331342,EVOLVE@ACADEMIAEVOLVE.COM.BR,academia,principal,9313100,1,0,,0
66022007000112,HARMON GYM & WELLENSS,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,0.5,6198620857,CONTATO@IDGCONTABILIDADE.COM,academia,principal,9313100,1,0,,0
67644670000111,WBFIT,DF,Brasília,LAGO NORTE,9534,54.97,27485.0,173.44,bairro_exato,0.2,6182879911,PEDRO05HRS@GMAIL.COM,academia,principal,9313100,1,0,,0
02945544000151,PRAVIVER ESCOLA DE ESPORTE E DANCA,DF,Brasília,LAGO NORTE,9534,54.97,27485.0,173.44,bairro_exato,27.7,6133686419,,academia,principal,9313100,1,0,,0
62807788000108,KAPELA CROSS,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,1.0,6198791994,JESUS.JSA@GMAIL.COM,academia,principal,9313100,1,0,,0
63787244000186,CTPP ASA SUL,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,0.8,6192928585,CLAUDIABNUNES@GMAIL.COM,academia,principal,9313100,1,0,,0
64911046000145,VF PERFORMANCE,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,0.6,6192204135,CECDFSOCIETARIO@GMAIL.COM,academia,principal,9313100,1,0,,0
66400454000168,CELES - CIENCIA APLICADA AO TREINO DE FORCA,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,0.4,6181340377,TREINO.CELES@GMAIL.COM,academia,principal,9313100,1,0,,0
67793363000100,GARCIA TEAM,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,0.2,6198762608,FELIPEDSGARCIA@GMAIL.COM,academia,principal,9313100,1,0,,0
00678078000160,ESPACO 115,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,44.1,6133270310,,academia,principal,9313100,1,0,,0
38010153000192,ACADEMIA NADARTE,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,33.2,6132723768,NADARTE@NADARTE.COM,academia,principal,9313100,1,0,,0
03222971000174,ACADEMIA TRIBUS,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,27.2,6133462163,,academia,principal,9313100,1,0,,0
07316198000166,ACADEMIA IGOR CHIANCA,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,21.5,6130369576,,academia,principal,9313100,1,0,,0
07429550000170,PERSONAL PILATES,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,21.2,6133441185,KENYASAMPAIO@GMAIL.COM,academia,principal,9313100,1,0,,0
03219749000112,ACADEMIA MALHART,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,27.2,6133521676,,academia,principal,9313100,1,0,,0
20281116000153,PREMIERE TRAINING GYM,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,12.3,6133820393,,academia,principal,9313100,1,0,,0
12193112000195,SAUDE E FORMA STUDIO,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,16.2,6181122577,LUCI_CAPILE_LOBO@HOTMAIL.COM,academia,principal,9313100,1,0,,0
08975701000158,FIT PARK ACADEMIA,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,19.2,6133682001,COMERCIAL@FITPARKACADEMIA.COM.BR,academia,principal,9313100,1,0,,0
18242106000167,CONNECT FUNCIONAL,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,13.2,6181801138,,academia,principal,9313100,1,0,,0
18458999000182,CLINICA FUNCIONALL TREINAMENTO INTELIGENTE,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,13.2,6130395351,,academia,principal,9313100,1,0,,0
19406601000127,SUPERACAO FITNESS,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,12.8,6192895910,ESTUDIOSUPERACAO@GMAIL.COM,academia,principal,9313100,1,0,,0
23803946000191,HEWERTON DIAS SOARES,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,10.8,6198171011,ACELIGHT@HOTMAIL.COM,academia,principal,9313100,1,0,,0
24176618000175,ESPACO RB,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,10.6,6195161511,FATURAMENTO@ESPACOPHISIO.COM,academia,principal,9313100,1,0,,0
25335673000123,MUNDO CROSSFIT,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,10.1,6193767875,zequinhafurquim89@gmail.com,academia,principal,9313100,1,0,,0
23926034000107,CTPP,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,10.7,6199266153,CENTRODETREINAMENTOPP@GMAIL.COM,academia,principal,9313100,1,0,,0
28929042000120,,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,8.9,6132741467,livinhaucb@gmail.com,academia,principal,9313100,1,0,,0
32110305000142,HIBRIDUS BOX FUNCIONAL,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,7.8,6183393000,,academia,principal,9313100,1,0,,0
32692619000109,,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,7.6,6198504348,ERIKAMERCES@HOTMAIL.COM,academia,principal,9313100,1,0,,0
32711910000179,BF ACADEMIA,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,7.6,6184026000,LUCIANO@GRUPOTERRAVISTA.COM.BR,academia,principal,9313100,1,0,,0
35112239000138,VERITAS CORPO E MENTE,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,6.9,6181116337,CONTEC@CONTECDF.COM.BR,academia,principal,9313100,1,0,,0
37634274000142,PWR SOCCER,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,6.2,6199916120,PWRSOCCER2020@GMAIL.COM,academia,principal,9313100,1,0,,0
35133913000160,SMASH ACADEMIA,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,6.9,6132051684,SMASHACADEMIA@GMAIL.COM,academia,principal,9313100,1,0,,0
30287406000591,BLUEFIT ASA SUL,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,8.0,6132021918,LEGALIZACAO@BLUEFITACADEMIA.COM.BR,academia,principal,9313100,1,0,,0
26902598000106,HIPERATIVIDADE RUNNERS,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,9.8,6198631349,PRIMEAUDITORIACONTABIL@GMAIL.COM,academia,principal,9313100,1,0,,0
44830485000116,BODYFIT STUDIO,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,4.7,6192292972,PALLOMA_EDFISICA@HOTMAIL.COM,academia,principal,9313100,1,0,,0
46786673000110,STUDIO DE MUSCULACAO MB,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,4.2,6133802112,MISABEZERRAPERSONAL@GMAIL.COM,academia,principal,9313100,1,0,,0
48957056000165,,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,3.8,6191799117,MESUTTOSUN_4@HOTMAIL.COM,academia,principal,9313100,1,0,,0
50395369000119,HV STUDIO,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,3.4,6186281164,HVSTUDIO@GMAIL.COM,academia,principal,9313100,1,0,,0
52472900000135,MAY BOOTCAMP,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,2.9,6199596900,SAMANTHALOUZEIRO@YAHOO.COM.BR,academia,principal,9313100,1,0,,0
52841309000108,LIFECOR FISIOTERAPIA E PILATES,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,2.8,6198692496,MARIADOSREISF514@GMAIL.COM,academia,principal,9313100,1,0,,0
07594978057366,,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,2.8,1133650800,FISCAL@BIORITMO.COM.BR,academia,principal,9313100,1,0,,0
55816798000136,AKCM INDOOR CYCLING,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,2.2,6132420192,SPINCYCLEASANORTE@GMAIL.COM,academia,principal,9313100,1,0,,0
57044462000128,OLIVEIRA & MONTEIRO SAUDE E BEM-ESTAR,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,2.1,6181336667,OLIVEIRAMONTEIROSAUDE@GMAIL.COM,academia,principal,9313100,1,0,,0
61028763000135,BG ESTRATEGIA E RESULTADOS,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,1.3,6111111111,BBENCK5@GMAIL.COM,academia,principal,9313100,1,0,,0
66204141000134,,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,0.4,6186343416,GLAUBER.PTRAINER@GMAIL.COM,academia,principal,9313100,1,0,,0
56105016000385,AERA PILATES ASA SUL,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,0.4,6132345995,EXECUTIVA.CLAUDIOCAMPELO@GMAIL.COM,academia,principal,9313100,1,0,,0
05306848000167,BBF,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,24.0,6133645820,,academia,principal,9313100,1,0,,0
00581199000199,DSTAK,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,46.7,6133409955,CONTATOS@DSTAK.COM.BR,academia,principal,9313100,1,0,,0
00616029000100,STUDIO DE DANCA REGINA MAURA,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,45.7,6133223243,,academia,principal,9313100,1,0,,0
24893695000146,ACADEMIA NAD'ARTE,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,38.5,6133477234,,academia,principal,9313100,1,0,,0
12218342000161,STUDIO F7 PERSONAL TRAINER,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,16.2,6192572415,FABI.STUDIOLF@GMAIL.COM,academia,principal,9313100,1,0,,0
15138657000197,UBT BOULDER,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,14.6,6133409611,RECEPCAO@UBTESCALADA.COM.BR,academia,principal,9313100,1,0,,0
20977836000158,STUDIO MARFO,DF,Brasília,SETOR NOROESTE,8654,54.97,27485.0,157.43,bairro_fuzzy,12.0,6197680791,LAURASABINO.PILATES@YAHOO.COM.BR,academia,principal,9313100,1,0,,0
23281252000131,ESTILO SAUDE PERSONAL TRAINER,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,11.0,6192121912,RODRIGO.TREINO@GMAIL.COM,academia,principal,9313100,1,0,,0
24355220000104,SELECT SERVICE,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,10.5,6182217485,GMESSINAPERSONAL@GMAIL.COM,academia,principal,9313100,1,0,,0
29425285000194,EXALE PILATES,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,8.7,6132741467,,academia,principal,9313100,1,0,,0
30287709000180,MATEUS PETITTO PERSONAL,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,8.4,6181308284,MATEUS.PETITTO@YAHOO.COM,academia,principal,9313100,1,0,,0
30341537000186,ACADEMIA VASCO NETO,DF,Brasília,SETOR NOROESTE,8654,54.97,27485.0,157.43,bairro_fuzzy,8.3,6192266330,,academia,principal,9313100,1,0,,0
31250492000105,SPINCYCLE,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,8.1,6196880952,LARIS_PACHECO@HOTMAIL.COM,academia,principal,9313100,1,0,,0
34620956000108,GRUPO MCA SOLUCOES INTELIGENTES EM SAUDE E BEM-ESTAR,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,7.1,6135224389,MCA@GRUPOMCA.COM.BR,academia,principal,9313100,1,0,,0
35272532000162,SPOX,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,6.9,6199853438,SPOXCONDICIONAMENTOFISICO@GMAIL.COM,academia,principal,9313100,1,0,,0
30287406000834,BLUEFIT ASA NORTE,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,6.8,6132021918,CNPJ@BLUEFITACADEMIA.COM.BR,academia,principal,9313100,1,0,,0
34706288000136,CROSS FIT HARPIA,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,7.1,6181811458,CROSSFITHARPIA@GMAIL.COM,academia,principal,9313100,1,0,,0
35608653000132,VITALIS PILATES,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,6.8,6182417304,JUNQUEIRA_GABRIELA@HOTMAIL.COM,academia,principal,9313100,1,0,,0
45419764000154,,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,4.6,6199875788,JURIDICON@JURIDICON.COM.BR,academia,principal,9313100,1,0,,0
47507010000181,EIXO PILATES,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,4.1,6198513100,EIXOPILATES@GMAIL.COM,academia,principal,9313100,1,0,,0
49286788000133,,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,3.7,6198601913,MARINARAMOSJORGE1986@GMAIL.COM,academia,principal,9313100,1,0,,0
50015612000126,MARITZA VIEIRA DANCE STUDIO,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,3.5,6199855736,MVDANCESTUDIOBRASILIA@GMAIL.COM,academia,principal,9313100,1,0,,0
50592093000169,ACQUA LIVE 3 ACADEMIA DE NATACAO E HIDROGINASTICA,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,3.3,6182072477,MC.ACQUALIVE3@GMAIL.COM,academia,principal,9313100,1,0,,0
30287406001997,,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,3.2,6130021918,LEGALIZACAO@BLUEFITACADEMIA.COM.BR,academia,principal,9313100,1,0,,0
52444695000102,MAY BOOTCAMP,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,2.9,6199596900,FABRICIOMAMANNY@HOTMAIL.COM,academia,principal,9313100,1,0,,0
53596231000176,FEASYO,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,2.7,6198667555,JULIANAROCHA@HOTMAIL.COM.BR,academia,principal,9313100,1,0,,0
05239361002071,,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,2.6,1133650800,FISCAL@BIORITMO.COM.BR,academia,principal,9313100,1,0,,0
56883212000119,,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,2.1,6199367372,SELASSI17@GMAIL.COM,academia,principal,9313100,1,0,,0
55133690000149,REACTIVE SPORTS E ATIVIDADE FISICA,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,2.3,6130430043,CONTRATOS@ARBRENT.COM.BR,academia,principal,9313100,1,0,,0
59459846000137,ASSESSORIA CORRA MAIS,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,1.6,6185308950,VCARVALHO0211@HOTMAIL.COM,academia,principal,9313100,1,0,,0
59556230000184,SPINTECH BEM-ESTAR E PERFORMANCE,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,1.6,6130341210,GLAICONCORTEZ@HOTMAIL.COM,academia,principal,9313100,1,0,,0
61425652000162,ESTUDIO ATITUDE 211,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,1.2,6184642492,VANESSADEARAUJOLUND@GMAIL.COM,academia,principal,9313100,1,0,,0
63567735000111,,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,0.8,6198791994,JESUS.JSA@GMAIL.COM,academia,principal,9313100,1,0,,0
63747473000177,,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,0.8,6191951133,MOREIRA.CAFERNANDES@GMAIL.COM,academia,principal,9313100,1,0,,0
65165681000193,DRA. REBECCA SANTANA,DF,Brasília,PLANO PILOTO,8654,54.97,27485.0,157.43,bairro_exato,0.6,6131313131,NAOPOSSUI@GMAIL.COM,academia,principal,9313100,1,0,,0
65656583000159,RBL CONSULTORIA,DF,Brasília,SETOR NOROESTE,8654,54.97,27485.0,157.43,bairro_fuzzy,0.5,6181516986,RICARDO.FARIALOPES@GMAIL.COM,academia,principal,9313100,1,0,,0
65929677000154,,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,0.5,6199756226,THIAGOLOREAL@GMAIL.COM,academia,principal,9313100,1,0,,0
07594978086625,,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,0.4,1133650800,FISCAL@BIORITMO.COM.BR,academia,principal,9313100,1,0,,0
05457134000150,ACADEMIA VASCO NETO,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,23.8,6132020233,SECRETARIA@ACADEMIAVASCONETO.COM.BR,academia,principal,9313100,1,0,,0
07182316000190,KALE ESPACO SAUDE,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,21.7,6133366387,FALCAOCONTABILIDADE@GMAIL.COM,academia,principal,9313100,1,0,,0
07567440000174,ULTRA,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,21.1,6132260027,email@email.com.br,academia,principal,9313100,1,0,,0
12980242000178,D'STAK,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,15.8,6132251058,leandro@elycontabilidade.com.br,academia,principal,9313100,1,0,,0
16650944000144,ACADEMIA VASCO NETO,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,14.1,6139640101,,academia,principal,9313100,1,0,,0
17310689000153,POWER FUTEVOLEI,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,13.8,6182450813,ornelo.neto@hotmail.com,academia,principal,9313100,1,0,,0
17996574000164,CLUB 4 PREMIUM,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,13.4,6133260705,,academia,principal,9313100,1,0,,0
19011704000198,SPAZIO CORPORE,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,13.0,6120278843,,academia,principal,9313100,1,0,,0
07737623004773,,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,12.7,2125363770,CNPJ@BODYTECH.COM.BR,academia,principal,9313100,1,0,,0
24597111000195,FITNESS NATACAO,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,10.4,6133682001,COMERCIAL@FITPARKACADEMIA.COM.BR,academia,principal,9313100,1,0,,0
27073214000144,SUPER TIME,DF,Brasília,SETOR NOROESTE,8654,54.97,27485.0,157.43,bairro_fuzzy,9.6,6181358100,flaviosupertime@gmail.com,academia,principal,9313100,1,0,,0
30904325000160,REMO CASSAB,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,8.2,6196028818,,academia,principal,9313100,1,0,,0
31722331000169,ACADEMIA INMOVE,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,7.9,6186250014,EDUDANDAV@GMAIL.COM,academia,principal,9313100,1,0,,0
30339520000194,BE EXCLUSIVE GYM,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,8.3,6199714698,CONTATO@BEEXCLUSIVEGYM.COM.BR,academia,principal,9313100,1,0,,0
35775726000180,CORPUS PILATES & FISIO. ATT,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,6.8,6135565112,,academia,principal,9313100,1,0,,0
26953417000162,CENTRO DE TREINAMENTO AXIOMA,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,9.7,6195591974,NEVES.30ANDERSON@GMAIL.COM,academia,principal,9313100,1,0,,0
43625677000128,,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,5.0,6130450024,ATENDIMENTO@ECOUNT.COM.BR,academia,principal,9313100,1,0,,0
34502135000177,FM CURADORIA EM SAUDE,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,7.1,6192313758,,academia,principal,9313100,1,0,,0
44579079000122,PURE PILATES 315 NORTE,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,4.8,6181218781,TOTI@MEGADELTA.COM,academia,principal,9313100,1,0,,0
45604727000116,BW CONSULTORIA NUTRICIONAL,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,4.5,6181213045,BWCONSULTORIANUTRICIONAL@GMAIL.COM,academia,principal,9313100,1,0,,0
49745023000114,,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,3.6,6196693409,GGESTETICAEMOVIMENTO@GMAIL.COM,academia,principal,9313100,1,0,,0
51282506000171,LIGIA GRASSI CADEMARTORI PINTO PERSONAL TRAINER,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,3.2,6191330297,LIGIAGRASSI@HOTMAIL.COM,academia,principal,9313100,1,0,,0
37583607000232,,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,2.9,6198847175,FINANCEIRO@ECLUBDF.COM.BR,academia,principal,9313100,1,0,,0
53772723000175,CEAFI,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,2.6,6135522020,CONTATO@CONTABILIDADEQUEIROZ.COM,academia,principal,9313100,1,0,,0
55131682000163,YOGA THAI,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,2.3,6182792548,AMEERCHAUDHARY93@GMAIL.COM,academia,principal,9313100,1,0,,0
58235530000107,ESTUDIO BELLAFIT,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,1.8,6184413225,SITECONBR@GMAIL.COM,academia,principal,9313100,1,0,,0
59704582000130,RT + FISIOLOGIA E PERFORMANCE ESPORTIVA LTDA,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,1.6,6192027836,WAYDSON1@GMAIL.COM,academia,principal,9313100,1,0,,0
60865775000151,ORLA DA VILA,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,1.3,6198400884,ORLADAVILABSB@GMAIL.COM,academia,principal,9313100,1,0,,0
63642366000184,STUDIO VELOCITY NOROESTE,DF,Brasília,SETOR NOROESTE,8654,54.97,27485.0,157.43,bairro_fuzzy,0.8,6692112121,LUCASBARRACHI@BOL.COM.BR,academia,principal,9313100,1,0,,0
64035113000105,EVO CLUB NOROESTE,DF,Brasília,ASA NORTE,8654,54.97,27485.0,157.43,bairro_exato,0.8,6192406556,ACADEMIAEVOTENIS@GMAIL.COM,academia,principal,9313100,1,0,,0
64716268000107,CORPO E MOVIMENTO,DF,Brasília,PLANO PILOTO,8654,54.97,27485.0,157.43,bairro_exato,0.7,6186639886,LUIZFROTA9090@GMAIL.COM,academia,principal,9313100,1,0,,0
65816030000116,FLAVIO KIMURA PERSONAL,DF,Brasília,ASA SUL,8654,54.97,27485.0,157.43,bairro_exato,0.5,4198130414,MEUCNPJ@CONTABILIZEI.COM.BR,academia,principal,9313100,1,0,,0
